"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","3,677.85","3,709.38","3,812.01","3,623.74","405.65K","-0.85%"
"Dec 30, 2021","3,709.57","3,629.33","3,767.93","3,589.64","355.72K","2.25%"
"Dec 29, 2021","3,627.93","3,792.95","3,825.97","3,607.20","456.03K","-4.32%"
"Dec 28, 2021","3,791.69","4,036.86","4,036.86","3,760.86","527.23K","-6.06%"
"Dec 27, 2021","4,036.24","4,062.02","4,125.22","4,033.04","313.32K","-0.62%"
"Dec 26, 2021","4,061.27","4,093.38","4,104.23","4,005.38","283.58K","-0.78%"
"Dec 25, 2021","4,093.14","4,043.60","4,136.03","4,024.87","308.53K","1.23%"
"Dec 24, 2021","4,043.39","4,110.20","4,133.77","4,024.24","353.85K","-1.62%"
"Dec 23, 2021","4,110.14","3,979.57","4,149.17","3,895.89","573.18K","3.28%"
"Dec 22, 2021","3,979.54","4,016.25","4,072.40","3,944.15","426.43K","-0.92%"
"Dec 21, 2021","4,016.59","3,944.03","4,058.76","3,915.56","496.71K","1.98%"
"Dec 20, 2021","3,938.80","3,925.46","3,978.66","3,757.42","531.11K","0.34%"
"Dec 19, 2021","3,925.34","3,959.90","4,025.36","3,890.90","442.49K","-0.87%"
"Dec 18, 2021","3,959.83","3,878.20","3,993.05","3,769.91","475.86K","2.10%"
"Dec 17, 2021","3,878.29","3,957.12","3,993.87","3,702.33","654.90K","-1.98%"
"Dec 16, 2021","3,956.62","4,019.57","4,108.24","3,955.46","512.12K","-1.56%"
"Dec 15, 2021","4,019.24","3,860.51","4,090.15","3,649.69","821.22K","4.08%"
"Dec 14, 2021","3,861.55","3,782.12","3,879.43","3,690.06","577.61K","2.11%"
"Dec 13, 2021","3,781.94","4,131.47","4,141.27","3,673.19","891.67K","-8.47%"
"Dec 12, 2021","4,131.78","4,078.17","4,173.21","3,988.29","360.45K","1.38%"
"Dec 11, 2021","4,075.66","3,903.52","4,094.92","3,836.92","581.26K","4.41%"
"Dec 10, 2021","3,903.48","4,107.20","4,226.79","3,894.03","798.12K","-4.97%"
"Dec 09, 2021","4,107.69","4,435.74","4,482.89","4,078.14","642.17K","-7.40%"
"Dec 08, 2021","4,435.74","4,307.08","4,449.69","4,229.63","574.33K","2.99%"
"Dec 07, 2021","4,307.08","4,351.36","4,424.20","4,259.45","550.78K","-1.06%"
"Dec 06, 2021","4,353.31","4,194.95","4,373.23","3,922.65","993.79K","3.78%"
"Dec 05, 2021","4,194.80","4,118.27","4,247.38","4,036.00","707.69K","1.73%"
"Dec 04, 2021","4,123.46","4,219.30","4,237.56","3,533.02","1.52M","-2.27%"
"Dec 03, 2021","4,219.30","4,512.90","4,646.73","4,047.07","942.77K","-6.51%"
"Dec 02, 2021","4,512.90","4,583.28","4,629.75","4,437.53","608.07K","-1.54%"
"Dec 01, 2021","4,583.28","4,628.72","4,778.14","4,525.33","669.18K","-0.99%"
"Nov 30, 2021","4,628.90","4,443.22","4,749.12","4,349.21","973.46K","4.18%"
"Nov 29, 2021","4,443.22","4,296.98","4,456.82","4,280.18","532.66K","3.40%"
"Nov 28, 2021","4,296.98","4,095.16","4,297.63","3,980.24","487.53K","4.94%"
"Nov 27, 2021","4,094.80","4,037.06","4,183.02","4,029.06","370.73K","1.49%"
"Nov 26, 2021","4,034.53","4,520.30","4,548.10","3,917.43","1.00M","-10.75%"
"Nov 25, 2021","4,520.30","4,270.73","4,549.74","4,248.90","578.65K","5.77%"
"Nov 24, 2021","4,273.54","4,340.23","4,372.83","4,172.19","595.96K","-1.54%"
"Nov 23, 2021","4,340.23","4,086.73","4,384.75","4,064.17","684.35K","6.20%"
"Nov 22, 2021","4,086.95","4,268.07","4,311.46","4,026.75","717.08K","-4.24%"
"Nov 21, 2021","4,268.08","4,409.02","4,422.60","4,246.20","446.23K","-3.19%"
"Nov 20, 2021","4,408.85","4,295.27","4,434.27","4,206.75","462.99K","2.64%"
"Nov 19, 2021","4,295.43","3,996.29","4,305.41","3,978.08","571.96K","7.34%"
"Nov 18, 2021","4,001.87","4,290.31","4,342.74","3,958.44","792.38K","-6.74%"
"Nov 17, 2021","4,290.88","4,208.29","4,298.30","4,071.01","664.94K","1.97%"
"Nov 16, 2021","4,208.16","4,562.97","4,562.97","4,115.31","1.12M","-7.78%"
"Nov 15, 2021","4,562.98","4,625.71","4,769.38","4,543.47","495.96K","-1.35%"
"Nov 14, 2021","4,625.59","4,644.40","4,692.76","4,514.95","340.96K","-0.41%"
"Nov 13, 2021","4,644.61","4,665.76","4,705.02","4,585.37","290.27K","-0.49%"
"Nov 12, 2021","4,667.31","4,720.50","4,807.16","4,511.96","634.59K","-1.13%"
"Nov 11, 2021","4,720.87","4,633.98","4,778.17","4,578.66","418.61K","1.87%"
"Nov 10, 2021","4,634.03","4,731.83","4,864.06","4,498.78","761.90K","-2.07%"
"Nov 09, 2021","4,731.83","4,808.34","4,836.69","4,715.43","437.41K","-1.59%"
"Nov 08, 2021","4,808.38","4,612.05","4,822.97","4,612.05","673.21K","4.26%"
"Nov 07, 2021","4,612.06","4,517.27","4,634.39","4,502.70","337.81K","2.10%"
"Nov 06, 2021","4,517.36","4,475.00","4,526.75","4,330.29","442.60K","0.95%"
"Nov 05, 2021","4,475.00","4,534.96","4,569.31","4,439.67","409.75K","-1.33%"
"Nov 04, 2021","4,535.11","4,601.93","4,604.83","4,421.87","495.86K","-1.46%"
"Nov 03, 2021","4,602.21","4,586.96","4,661.88","4,458.87","634.68K","0.35%"
"Nov 02, 2021","4,586.06","4,320.85","4,598.38","4,287.36","630.26K","6.14%"
"Nov 01, 2021","4,320.85","4,287.41","4,376.94","4,157.51","574.26K","0.78%"
"Oct 31, 2021","4,287.56","4,322.00","4,393.61","4,169.48","555.32K","-0.77%"
"Oct 30, 2021","4,320.65","4,413.70","4,428.41","4,250.24","494.87K","-2.11%"
"Oct 29, 2021","4,413.70","4,284.90","4,458.30","4,268.21","781.57K","3.01%"
"Oct 28, 2021","4,284.90","3,921.54","4,289.80","3,896.33","865.80K","9.25%"
"Oct 27, 2021","3,921.93","4,130.06","4,299.61","3,914.06","1.07M","-5.03%"
"Oct 26, 2021","4,129.51","4,219.92","4,291.98","4,098.19","559.29K","-2.14%"
"Oct 25, 2021","4,219.92","4,082.68","4,234.76","4,069.94","481.41K","3.36%"
"Oct 24, 2021","4,082.80","4,168.80","4,184.00","3,965.84","507.63K","-2.06%"
"Oct 23, 2021","4,168.85","3,970.94","4,169.33","3,938.79","487.03K","4.98%"
"Oct 22, 2021","3,970.94","4,053.89","4,164.11","3,896.40","654.77K","-2.05%"
